command, velocity, acceleration
0.36000000000000026, 16.156762218461793, 25.892247144970824
0.3633000000000003, 15.707963267948966, 0.0
0.3661000000000003, 16.60556116897462, 16.0285339468867
0.3688000000000003, 17.05436011948745, 16.62218335232695
0.3718000000000003, 17.05436011948745, 0.0
0.3748000000000003, 17.951958020513104, 29.919930034188507
0.3774000000000003, 17.05436011948745, -17.261498096647216
0.3800000000000003, 17.05436011948745, -17.261498096647216
0.3826000000000003, 17.05436011948745, -17.261498096647216
0.38570000000000026, 17.05436011948745, 14.477385500413794
0.3886000000000003, 18.40075697102593, 46.42747763925802
0.39130000000000026, 18.84955592153876, 16.62218335232695
0.39380000000000026, 18.40075697102593, -17.951958020513104
0.3966000000000003, 19.298354872051586, 16.0285339468867
0.3991000000000003, 18.84955592153876, 0.0
